snid,z,mu,emu,x1,ex1,c,ec,salt3_cut,cm_mu,cm_emu,cm_mode,cm_failed,K_syst,mu_lcdm
2165,0.288,41.46402348652093,0.14499960739357654,1.3435083439220339,0.8958444438251492,-0.08736572162156464,0.035279640918451496,,40.7169,0.1929,S,,0.0767,40.79220788080319
2246,0.1949,40.210675226077086,0.09211424908884037,1.0101878227718153,0.42770417899066754,0.09689815542613561,0.02435807671452959,,39.7618,0.169,S,,0.1009,39.832528047867925
2308,0.148,39.600401580421405,0.030805379531802377,0.7384243855579582,0.11636721550652705,-0.17798369352109933,0.009497832312798068,,39.0065,0.1326,L,,0.0454,39.17293332551028
2372,0.180465,39.88606172130865,0.05612650832005001,0.577672948353781,0.23380969099093346,0.03747192781286157,0.015609609905269758,,39.2831,0.1354,S,,0.0319,39.646820086219805
2422,0.265,41.1460247308721,0.09609022825974571,1.4142678035812342,0.35631691959896733,-0.14047061042391307,0.02460121371080848,,,,,dm15_provenance,,40.58512793541479
2440,0.191139,40.30026615278373,0.07297146745148389,0.4903342483808455,0.3094604310830426,-0.07578494303428746,0.019562227451482755,,,,,dm15_provenance,,39.78540077207157
2533,0.34,41.67726510803455,0.19766152128943376,2.3809745587695605,0.9163035963588396,-0.06593396989088335,0.043087772519745875,,40.5663,0.2403,S,,0.0539,41.209392011640716
2561,0.1181294,38.932097365333526,0.03095254913068774,-0.14422564679424177,0.11150184908511858,0.06579674692931953,0.011100829237241554,,,,L,rms_gate,,38.64188694078787
2635,0.1437,39.423588398528864,0.0350989033364447,0.8842787417985569,0.13507766070793947,-0.038424932593733474,0.011178398060791012,,,,,dm15_provenance,,39.10303627555517
2689,0.1614894,39.55089750523743,0.05283301744936825,1.4581192985762623,0.18987653203751895,0.08117296999974216,0.01551156510447436,,,,,dm15_provenance,,39.38054188029807
2916,0.1242,38.98416493378622,0.04940027378278673,-0.6441026846967213,0.21396688050887933,0.09167146866445802,0.024141034591120786,,,,L,rms_gate,,38.75928530244851
2943,0.2654,40.91872624086051,0.13965651624201325,1.2581645631547271,0.5501832096910787,-0.0017676764155789004,0.03449442355974393,,,,,dm15_provenance,,40.58886817687842
2992,0.1266043,38.893436785322564,0.040412960944004934,-1.0216347740064382,0.13535793897584628,0.11433868551789095,0.01527744808198413,,,,,dm15_provenance,,38.80429781491812
3080,0.174404,39.79858789681204,0.0453143540424006,0.27130594314825807,0.1853372260708206,-0.056237037102959575,0.013024451934780733,,39.8381,0.1316,L,,0.078,39.56471202611532
3087,0.16551,39.72306049959214,0.043351104914685815,0.7126425777349343,0.18241496145819697,-0.007191793309880179,0.0135427778838245,,39.0039,0.1321,L,,0.0434,39.43930161647108
3199,0.2511,40.99704939748853,0.11422575556869224,2.059438302507984,0.41644847250354,0.07297400261557613,0.028381861237512962,,,,L,rms_gate,,40.45181968734923
3256,0.108225,38.81173753945593,0.03589678134965884,-0.49898005668053536,0.15441107515551225,0.011089384547605219,0.022182620216015976,,,,R,no_bracket,,38.43757786455305
3317,0.161011,39.591425339771554,0.047244302563783765,-0.3755014171446298,0.17792554064797653,0.01215492939533147,0.013783040474360936,,,,R,no_bracket,,39.37345992727794
3377,0.2451,40.86321161470418,0.11534071443624734,3.999999999999922,1.4349150486429646e-07,0.3237677738558832,0.04358779141047807,x1,,,,window_empty,,40.39216829830001
3451,0.249841,40.66201163253048,0.09676040897513478,1.2046591306503887,0.3680965973872015,-0.05557044564600333,0.02257673457469852,,,,,dm15_provenance,,40.439412332938105
3452,0.231138,40.596649378003804,0.0768482530589814,1.0860882655335153,0.2626063215572315,-0.0886472255689757,0.020306225101709235,,39.9748,0.1463,L,,0.0351,40.247985235501645
3592,0.0865778,38.240982996405975,0.02,-0.10607287979494595,0.055080094896091454,-0.054813516446840294,0.0058786811536866755,,37.9521,0.1208,L,,0.0349,37.92133313663703
3901,0.0628607,37.288297629759484,0.02,1.035895333388261,0.033389713643652015,0.06345433584355947,0.003470200599855262,,37.008,0.1188,L,,0.0649,37.19039406147495
4046,0.277,41.037423285582804,0.1496930313919583,1.0906566988574449,0.6200478665338117,-0.003249487477192614,0.031031291294690438,,,,L,rms_gate,,40.695142400766976
4241,0.332,41.543951808196724,0.1889454488622303,1.036221664229613,0.9363343342469768,-0.021412416054470085,0.05173799040694182,,40.4571,0.2277,S,,0.1335,41.14920111934265
4524,0.0616,35.725956658511045,0.02,3.999999999725812,1.0379955672594252e-06,0.44643459628420434,0.0019421357119592509,x1,,,R,no_bracket,,37.14446417417203
4679,0.3324,41.36586030342447,0.24670953573384063,1.7099137429847637,0.9786129166024028,0.10791701698717637,0.05612171324883291,,,,L,rms_gate,,41.152242169247714
5103,0.161989,39.62377135850271,0.0424161350530741,-0.2602831944256092,0.14527482937315037,0.009548487476611855,0.015896076886488836,,39.1159,0.1372,L,,0.0282,39.38791687604561
5350,0.1754,40.36293949955135,0.06798648051732377,3.9999999927319347,3.504345663858125e-05,0.1075539965729293,0.025685552499620044,x1,39.8613,0.2078,S,,0.0762,39.57838464034445
5391,0.3009,41.20652486014459,0.22554655265722612,1.576958338734789,0.9822421651117453,0.03985612535669275,0.059672816357780364,,,,,window_empty,,40.901791713466906
5395,0.117,39.03841587954173,0.022667103262462514,1.0257206750558332,0.11074973100013183,-0.03266371172489069,0.007991654406210868,,38.9406,0.1207,L,,0.0651,38.619421860435125
5533,0.220282,40.466986968542514,0.09053721288398328,-0.3783790122853272,0.4899766779122599,0.008354092694790982,0.029769348119388524,,,,,dm15_provenance,,40.1302246754187
5549,0.121242,39.01122643590658,0.021484218324243833,0.27893872519241825,0.09070758444849929,0.007876531579493973,0.008099982307800872,,,,Q,no_bracket,,38.702770967274006
5550,0.156291,39.64896737678552,0.029174709660058182,1.8515165084890892,0.16043110667259258,-0.06118142281990213,0.007788365094379212,,38.9746,0.1452,S,,0.0507,39.30251912272824
5635,0.17979,40.36693171763977,0.07993815493526149,0.3142720225355742,0.44141879891641983,-0.01711541753477458,0.03029518576223725,,,,,dm15_provenance,,39.63780343393016
5717,0.2517,40.99881319409498,0.08589980851247073,1.5314908154730498,0.45294332258624387,-0.025593891611872643,0.02638161763856105,,,,Q,no_bracket,,40.45771252978881
5736,0.253,40.75935056254412,0.06975479344694009,0.21463734680969093,0.3552008055238429,0.011814637368593783,0.023079777621695226,,,,,dm15_provenance,,40.470436171735464
5751,0.130555,39.11376502863571,0.03041584498596839,0.8544489892586391,0.14529990281508112,0.16508666764977775,0.01148460512227011,,38.6659,0.1279,L,,0.069,38.87654950923201
5844,0.3108,41.46045607445636,0.18525863843346646,0.4895960716403467,1.16369222960278,-0.13998074938651095,0.05689344260641604,,41.0615,0.18,S,,0.0929,40.9830018846144
5957,0.280304,41.099815668715884,0.09846249059160349,0.1494652893640831,0.5123973428351296,-0.08234385768373742,0.03221506803418182,,,,R,no_bracket,,40.72466400504848
5966,0.309632,41.19101575312541,0.4008330024305598,1.186425601831103,3.0499313722823285,0.06637213127799096,0.06898718650572691,,,,,window_empty,,40.97354538778458
5994,0.187,40.13050919625377,0.06178951155164829,0.8312805104420642,0.2689975551708639,-0.05781613050549089,0.018858133236884556,,39.3622,0.1231,L,,0.0657,39.732535241399916
6057,0.0670718,37.602082509711366,0.02,-0.5738775927562565,0.07580376546575265,0.09180071364653791,0.006145832133679808,,37.345,0.1181,L,,0.0583,37.33764382930884
