snid,z,mu,emu,x1,ex1,c,ec,salt3_cut,x1_des,c_des,mu_des,muerr_des,cm_mu,cm_emu,cm_mode,cm_failed,K_syst,mu_lcdm
1262267,0.56332,42.32842885988683,0.5352497207312044,-0.7126076259325274,3.3075651688314247,0.11129257853147001,0.05527240331285751,,-2.38557,0.16636,42.18917,0.21088,,,,dm15_provenance,,42.5119
1265089,0.44588,42.17426825266993,0.10475472134314849,0.76806051565997,0.6082126366616649,-0.02810571404993706,0.032496512037392594,,1.00747,0.00608607,41.86658,0.16597,41.3269,0.1776,S,,0.1881,41.9028
1265134,0.47362,42.18152027466404,0.060637598920164244,0.5856080928228202,0.35169751826660683,0.004653771566092035,0.013557822599060642,,1.05627,0.0212499,41.99333,0.16449,,,,dm15_provenance,,42.0591
1265260,0.6044,42.50349489881423,0.17465411204248385,-1.3776017955192885,0.5613085182127058,0.2547359797099519,0.04721561718188261,,-2.0267,0.23305,42.50027,0.26288,,,,dm15_provenance,,42.6971
1266830,0.5717,42.32668494511004,0.22419248683091125,-0.08722318514719163,0.8902087073711245,0.12912858935435023,0.07754398118251492,,-0.0118094,0.17803,42.39987,0.16897,,,,dm15_provenance,,42.5507
1273127,0.19024,40.22914058515003,0.05276293115072127,-1.6534894384137568,0.3764044494916415,0.024902157521514146,0.015943523243913568,,-2.25372,-0.0185661,39.9733,0.12614,,,Q,no_bracket,,39.774
1275946,0.233,40.65013429638498,0.02,1.800199620270094,0.0890671174587265,-0.055419425067874006,0.004976703946116607,,1.83511,-0.0450527,40.32782,0.11634,,,L,rms_gate,,40.2677
1277173,0.15035,39.63595211934726,0.03122378352945351,-1.1643198899553178,0.1451818224870292,-0.07590166910092444,0.009733779957437303,,-1.16824,-0.0805097,39.34373,0.0985,39.3304,0.1591,S,,0.0578,39.2103
1279500,0.23568,40.69117346465183,0.02,0.7439689741612279,0.06874078904473171,-0.02698115926632516,0.003020029701918062,,0.87045,-0.0107071,40.35195,0.14154,,,L,rms_gate,,40.2957
1281119,0.19947,40.28908202550899,0.056977608781377954,0.04257610895265884,0.2711638431718642,0.21287797986228985,0.02346743293327609,,-0.111789,0.18489,40.11619,0.19924,39.6945,0.1489,L,,0.0819,39.8887
1281886,0.38493,41.97125378819473,0.07357195539799509,1.3562114646863934,0.3476553998092819,-0.05224212086877733,0.02206559042542334,,1.26982,0.018858,41.46707,0.18106,,,Q,no_bracket,,41.525
1283923,0.14715,39.625046747514745,0.02175792189292331,-1.9977295144833827,0.11426542987740786,0.15898958379227068,0.011270112014244953,,-2.52192,0.0951146,39.46035,0.15943,39.2391,0.1276,L,,0.0932,39.1593
1289346,0.453,42.55529205992538,0.05697675520789151,0.21137802904632608,0.23638059160637725,-0.27081564898172306,0.010409954553873856,,1.82664,0.24695,41.34949,0.21428,,,,dm15_provenance,,41.9437
1289982,0.11665,41.72603166095023,0.050730135085807565,0.5852345544366138,0.20690096103361294,0.21465039238769335,0.02216639138035121,,0.27959,0.1427,41.38301,0.20912,,,R,no_bracket,,38.6124
1290007,0.4317,42.14721606209365,0.07374150423254026,-0.2819304415694752,0.3281468117402547,0.054251651959167535,0.015028313111748527,,-0.317142,0.0753453,41.79286,0.22284,,,,dm15_provenance,,41.8193
1291090,0.29292,41.18285835995036,0.0310921379674104,1.180591697414422,0.13789939400743378,-0.07716640177946582,0.010731530901808582,,1.38213,-0.0662464,40.86884,0.12577,,,Q,no_bracket,,40.8345
1292560,0.22582,40.57596780580157,0.0203028138642771,0.36145477191187236,0.07968471314250487,-0.11940153909981371,0.0075203959848756,,0.52007,-0.114328,40.26777,0.09903,40.3284,0.12,L,,0.1077,40.1909
1292823,0.34672,41.63740291709958,0.026119354879963547,0.5197634171175327,0.1068913491306248,-0.030322307705978824,0.010310656756942158,,0.42139,-0.0327723,41.30887,0.12661,,,L,rms_gate,,41.259
1293046,0.60863,43.30693580171474,0.15867397985257978,-0.5657121063621187,0.7891521131709163,-0.08142793755473737,0.08673467453255845,,-1.23891,-0.136312,42.93457,0.19927,,,L,rms_gate,,42.7155
1293758,0.14896,39.59443247830957,0.02,-1.388146957570764,0.03172337530721471,-0.04641937272730501,0.0028207628175937615,,-1.64935,-0.0567402,39.29882,0.08534,,,Q,no_bracket,,39.1883
1293789,0.42914,42.274625227538145,0.04268512700529045,1.0303217407683967,0.15575521207023976,-0.13350809197718905,0.013227541745798072,,1.36549,-0.0597622,41.90901,0.12469,,,,dm15_provenance,,41.804
1294351,0.33926,41.68233905825525,0.07453391789329232,1.3050720004119425,0.3805806812199161,-0.02081838309266526,0.019406217026874797,,0.56213,-0.0466559,41.29239,0.14423,,,Q,no_bracket,,41.2039
1294436,0.17885,42.30580115839733,0.13147714967594343,3.9999996394432973,0.0008066577116233199,0.13361662905908112,0.05147486643219634,x1,-0.118582,0.0482209,41.63537,0.25939,40.5303,0.1632,S,,0.1075,39.6252
1295844,0.19294,41.20230097534797,0.03809698668109524,-1.674022195258026,0.16444036351388497,-0.03047173785008056,0.013320538027099987,,-1.15431,-0.0294134,40.96771,0.13424,,,R,no_bracket,,39.8081
1296321,0.18531,40.383681000649425,0.022962920530082493,0.5124999521307751,0.11117484505103455,0.08633384967211621,0.007145695637422579,,0.56552,0.0897274,40.03362,0.19652,40.2746,0.126,L,,0.0946,39.7106
1296657,0.14715,39.68264746551797,0.02,1.0054682880810004,0.06382752465152514,-0.013859202039032903,0.004227643460927388,,0.79735,0.011389,39.29023,0.13211,,,L,rms_gate,,39.1593
1296793,0.64526,43.15313030214159,0.38769580949765514,1.9471305755027597,2.2823685645401994,0.07936931380848644,0.08971044003081122,,-1.06719,0.0665249,42.96751,0.14889,,,,dm15_provenance,,42.8699
1298893,0.19712,40.25869881082079,0.0353664985693864,-2.053104149374635,0.11329027001368679,-0.025892231182509662,0.013781690573128816,,-2.88392,-0.0606103,39.9279,0.13755,39.9435,0.1298,S,,0.0763,39.86
1299775,0.16051,39.36642820145045,0.02,-0.25284606235424345,0.07133992377180838,0.18268999030359157,0.007037664898647241,,-0.0204858,0.19545,39.12071,0.18647,,,L,rms_gate,,39.366
1302915,0.36022,41.62120411764841,0.05667430619090572,-0.44867117735429973,0.27768191021113015,0.028921622332225505,0.01750106208075205,,-0.84899,0.00941831,41.38866,0.12823,40.7406,0.1476,L,,0.1452,41.3559
1303279,0.17315,39.62663701305007,0.02,0.19988137295121344,0.06865820821671179,-0.11363377598638519,0.005131580235847049,,0.19162,-0.0881208,39.29306,0.08337,39.7145,0.1239,L,,0.1531,39.5474
1303496,0.18021,39.91457857619443,0.021250007336503837,-0.049476565022654295,0.09562448077264021,0.08867129699296283,0.006176154250195795,,-0.109991,0.0871841,39.69446,0.15137,39.4688,0.1278,L,,0.0486,39.6434
1306059,0.6076,43.136065265504385,0.09858887001327099,-0.010952140812277023,0.3494961310951315,0.019449071260728867,0.036182805774853895,,-0.264543,0.00587559,42.86798,0.18412,42.435,0.1884,L,,0.0956,42.711
1306366,0.15145,39.97007794962166,0.02492587101969558,-0.4229763716885624,0.15168123154629104,0.21312135804214338,0.009630031181298798,,-0.45763,0.21242,39.60073,0.24715,,,R,no_bracket,,39.2277
1306423,0.44739,42.345222260922775,0.22174527296135607,0.8538628194502049,1.210093480928329,0.0305485260636556,0.06423990356936388,,-2.08271,-0.055948,41.87444,0.21323,41.6765,0.163,S,,0.1424,41.9115
1306991,0.42306,41.861064140925066,0.13520477064065672,0.12641831403049508,0.5020537729823471,-0.027931597408326514,0.037649085312697714,,-0.503917,-0.0988085,41.63381,0.16707,,,,dm15_provenance,,41.7673
1310396,0.32358,41.58512698612455,0.032696692238403484,0.266933482346416,0.15013076203194853,-0.14671400089000175,0.00798164145520384,,0.32612,-0.145043,41.21681,0.10543,41.2249,0.1376,L,,0.0891,41.0844
1311631,0.64177,43.32777363906677,0.3152875785549357,0.8221903621738065,1.5800407566481776,-0.029902440268219976,0.05606333498544699,,0.71985,-0.0881381,43.19782,0.17024,,,,window_empty,,42.8555
1312164,0.52438,43.0270898817942,0.24618196797940362,-0.02246089183119393,0.9639964346497264,-0.05349642943699584,0.07143150055248734,,-0.383649,-0.0783411,42.72466,0.31277,,,,window_empty,,42.3242
1312213,0.40797,42.15822160609254,0.19052692354819709,-1.2505050116322005,1.3813698337096616,0.1330990956824546,0.04526882765852571,,-2.15049,-0.0518599,42.23683,0.23673,,,,dm15_provenance,,41.6739
1315910,0.39468,42.48272042237038,0.1747101787064844,-0.12971179954145162,0.8007222470172954,0.1315697932312232,0.058189542149584855,,-0.982602,0.12947,42.25254,0.25435,42.0548,0.1982,S,,0.1291,41.589
1316385,0.14784,39.34244274617137,0.02,0.9819626712614618,0.019505393703762235,-0.0033072611211839575,0.001762911094582164,,1.06972,0.0234555,39.00672,0.13909,,,L,rms_gate,,39.1704
1317164,0.15555,39.39197070290351,0.024364339987959564,-2.4287986950014226,0.098375761705502,0.17706330241107116,0.010928835724875241,,-2.44449,0.1433,39.23567,0.17632,39.0161,0.1264,S,,0.0258,39.2912
1317612,0.10525,38.597994236492646,0.02,-0.9153871916544984,0.02447968631543314,0.05323711219214755,0.001991348252483294,,-1.2487,0.0315093,38.35683,0.12738,38.3299,0.1256,S,,0.0283,38.3728
1317666,0.14227,39.50268645508191,0.02,-0.25478710978555386,0.027245133927142253,0.08363748308307817,0.002728907895303699,,-0.283833,0.0595031,39.34775,0.14408,39.4356,0.1515,S,,0.04,39.0794
1318737,0.07451,37.736403817615766,0.02,-0.4207628239818013,0.03369758320255399,0.13262033065677314,0.002963614928900353,,-0.389992,0.21196,37.36177,0.18771,37.43,0.1399,S,,0.0204,37.5773
1319614,0.33972,41.47340649836449,0.08396425252063518,-0.9891967105986383,0.5567720842413578,0.30507910750848255,0.027196240752881653,c,-1.29081,0.28432,41.41143,0.21256,,,L,rms_gate,,41.2073
1321276,0.33227,41.67070963578172,0.03530622988409081,0.063233302114174,0.1690772031010487,-0.02274633381567459,0.011400664674942504,,-0.136078,-0.0339866,41.34494,0.12719,,,,dm15_provenance,,41.1513
1323349,0.5061,42.89309772749107,0.09818903978239127,0.09137397322003338,0.41759004087523705,-0.00912802772463378,0.03009906587121248,,-1.29064,0.0298229,42.41873,0.1769,,,,window_empty,,42.2316
1324685,0.54244,42.78616100066267,0.05784418614032958,-0.4215272748053156,0.316034608410052,-0.03844745392501392,0.011959947058240755,,-0.757565,-0.028093,42.45177,0.1366,,,Q,no_bracket,,42.4128
1324938,0.19933,41.369139183234424,8.287420578130524,3.883869180959394,62.713853740926425,-0.07704269620921889,0.3435425359448501,x1,-1.6373,0.0303361,40.74201,0.1952,,,,dm15_provenance,,39.887
1330031,0.10643,38.875842426207875,0.02,0.4164991184470397,0.0172123839977339,-0.1105981321292081,0.0017080765241741457,,0.37714,-0.107851,38.54264,0.08321,38.5472,0.1184,L,,0.0421,38.3987
1330817,0.27144,41.183082388786104,0.038133065916807214,-1.0062006674134283,0.20486530836766986,-0.0262273981128327,0.010829830425735407,,-1.43491,-0.0513795,40.90091,0.11152,40.9764,0.1528,S,,0.0662,40.6447
1331123,0.22248,40.549119026800795,0.025148952226180202,-1.561944153862326,0.11931357129165482,0.008961970054915669,0.009859489584995001,,-1.82681,-0.0115399,40.28881,0.11142,40.1122,0.1276,L,,0.0333,40.1545
1332392,0.51318,43.62133386587804,0.20182181526328383,3.999999616608614,0.0004543801894136788,-0.021348827380874902,0.07352132414754642,x1,-0.875846,0.11037,42.50087,0.19912,39.8642,1.603,S,,0.3448,42.2679
1332721,0.42274,42.53949529217529,0.10457286884248068,1.2889002182304612,0.5124527156551008,0.022201982904855533,0.027472079465823182,,1.33776,0.0671661,42.12211,0.21813,,,L,rms_gate,,41.7653
